Codigo de Centro,Sucursal,Hogar,Salud y Belleza,Moda,Juguetes,Tecnologia,Viajes,Papeleria,Venta Total,Fecha Corte
CEN001,ARAGON,800636,348364,365917,69294,527709,566889,535494,3214303,8/31/2022
CEN002,GALERIAS COAPA,255684,223786,752457,1191253,269777,37275,494804,3225036,8/31/2022
CEN003,MADERO CENTRO,725869,453640,730088,612965,142154,309722,616793,3591231,8/31/2022
CEN004,MUNDO E,888714,974626,84870,691464,867646,489438,327035,4323793,8/31/2022
CEN005,LUNA PARC,415683,920774,858623,575390,923513,782717,322087,4798787,8/31/2022
CEN006,PLAZA PATRIA GDL,286827,822828,1134803,128684,368015,309070,342487,3392714,8/31/2022
CEN007,CUERNAVACA AVERANDA,1079945,419288,697997,922318,694570,741841,742977,5298936,8/31/2022
CEN008,CENTRO SANTA FE,97136,1017663,1052060,132670,128853,570892,602162,3601436,8/31/2022
CEN009,PATIO UNIVERSIDAD,572765,1225074,238184,258243,276511,351752,225233,3147762,8/31/2022
CEN010,PATIO SANTA FE,605944,598912,436507,1216116,1188557,52478,478187,4576701,8/31/2022
CEN011,PUEBLA REFORMA,229861,463927,954502,484236,322968,497491,834143,3787128,8/31/2022
CEN012,PASEO ACOXPA,1080921,1214819,444441,715702,433039,116988,659850,4665760,8/31/2022
CEN013,PATIO QUERETARO,596923,512223,411458,345336,138693,448098,792192,3244923,8/31/2022
CEN014,MIDTOWN JALISCO,359890,1111840,1216197,722767,278012,959150,134276,4782132,8/31/2022
CEN015,UPTOWN JURIQUILLA,304676,161732,84277,176636,632259,663710,1023033,3046323,8/31/2022
CEN016,PACHUCA CENTRO,1024020,668752,65905,882245,476916,136702,718177,3972717,8/31/2022
CEN017,PATIO TLALPAN,231512,848016,797897,979232,176226,208650,1212451,4453984,8/31/2022
CEN018,PARQUES PUEBLA,1072579,887538,1146035,221660,1191200,29540,148831,4697383,8/31/2022
CEN019,GRAN PATIO GDL,486286,371463,855095,233477,809499,592616,319989,3668425,8/31/2022
CEN020,PUEBLA 5 DE MAYO,758306,600077,1138411,1069996,145831,540955,853871,5107447,8/31/2022
