Codigo de Centro,Sucursal,Hogar,Salud y Belleza,Moda,Juguetes,Tecnologia,Viajes,Papeleria,Venta Total,Fecha Corte
CEN001,ARAGON,1223515,331695,37254,243376,277603,1051556,110195,3275194,2/28/2022
CEN002,GALERIAS COAPA,535641,98615,730934,419662,437501,377119,724973,3324445,2/28/2022
CEN003,MADERO CENTRO,253788,559689,1197735,198212,134474,588287,843276,3775461,2/28/2022
CEN004,MUNDO E,715209,764608,320707,478080,486001,855057,656135,4275797,2/28/2022
CEN005,LUNA PARC,754609,983955,1073462,125113,1093161,442185,263823,4736308,2/28/2022
CEN006,PLAZA PATRIA GDL,333016,511292,574289,211106,907970,518449,435474,3491596,2/28/2022
CEN007,CUERNAVACA AVERANDA,1033505,1093812,336108,1001652,581854,951046,179883,5177860,2/28/2022
CEN008,CENTRO SANTA FE,703389,612450,1111936,165866,370974,146323,666798,3777736,2/28/2022
CEN009,PATIO UNIVERSIDAD,405594,1055200,100375,119320,451936,277028,806502,3215955,2/28/2022
CEN010,PATIO SANTA FE,611845,663709,826657,241431,354478,847746,969108,4514974,2/28/2022
CEN011,PUEBLA REFORMA,1221738,179099,1168470,57160,254841,246178,841294,3968780,2/28/2022
CEN012,PASEO ACOXPA,388665,266815,887388,1119066,161333,774625,1002553,4600445,2/28/2022
CEN013,PATIO QUERETARO,719550,426325,405700,57099,701062,970869,52591,3333196,2/28/2022
CEN014,MIDTOWN JALISCO,780998,570721,1047037,408706,517735,1211765,130827,4667789,2/28/2022
CEN015,UPTOWN JURIQUILLA,622586,189651,457973,1154033,241880,337643,190365,3194131,2/28/2022
CEN016,PACHUCA CENTRO,555246,794767,269465,110369,798313,652388,916918,4097466,2/28/2022
CEN017,PATIO TLALPAN,1084440,562642,1040045,314795,245387,501953,655758,4405020,2/28/2022
CEN018,PARQUES PUEBLA,675290,1202083,755767,974650,143827,726967,134768,4613352,2/28/2022
CEN019,GRAN PATIO GDL,731864,45460,1110073,159234,889074,181922,678269,3795896,2/28/2022
CEN020,PUEBLA 5 DE MAYO,1006978,311180,768536,680145,640301,1018887,593620,5019647,2/28/2022
CEN021,PATIO TOLUCA,873369,534394,642966,470009,317339,962906,829437,4630420,2/28/2022
CEN022,FORTUNA LINDAVISTA,513381,757030,823036,379523,20164,361549,488756,3343439,2/28/2022
CEN023,PUEBLA 4,1141679,200661,56410,284993,1044968,789193,1117463,4635367,2/28/2022
CEN024,CENTRO XALAPA,1212909,750026,697246,475114,714022,1137985,873803,5861105,2/28/2022
CEN025,INSURGENTES FLAGSHIP,1213380,695070,891095,488064,1243699,1153902,830916,6516126,2/28/2022
CEN026,LEON CENTRO PORTALES,1054215,627156,1155782,92420,1168611,795550,965464,5859198,2/28/2022
CEN027,CONDESA,693040,1000759,183165,601258,1021725,1031582,725150,5256679,2/28/2022
CEN028,VIA VALLEJO,448136,1241779,326881,289720,842229,827000,153262,4129007,2/28/2022
CEN029,CENTRO 16 DE SEPTIEMBRE,806531,390705,343566,1004370,1196762,880368,896837,5519139,2/28/2022
CEN030,PABELLON POLANCO,758453,1087709,449074,196492,863237,993583,244356,4592904,2/28/2022
CEN031,LA CUSPIDE,346984,1160134,1146517,138136,33874,942497,705465,4473607,2/28/2022
CEN032,CUATRO CAMINOS A,157664,548525,252334,519505,1104796,104313,513331,3200468,2/28/2022
CEN033,CUATRO CAMINOS B,1012148,753584,107059,261095,1239947,372696,227357,3973886,2/28/2022
CEN034,PLAZA INBURSA,462810,224515,281836,914116,947383,176736,407759,3415155,2/28/2022
CEN035,PLAZA TLALNEPANTLA,361903,797713,1030461,942637,346813,1041114,700833,5221474,2/28/2022
CEN036,PLAZA CARSO,356832,476845,169585,1191450,567309,1150798,975433,4888252,2/28/2022
CEN037,PLAZA Q,589319,734984,1201880,1069422,473996,409449,1062528,5541578,2/28/2022
CEN038,TOWN SQUARE METEPEC,273350,666388,735473,1176591,617473,1074800,307984,4852059,2/28/2022
CEN039,SCOTIA AEROPUERTO,77031,237108,570010,30952,426178,1094093,184173,2619545,2/28/2022
CEN040,ALTACIA LEON,986740,791303,226821,79837,459351,1148672,638391,4331115,2/28/2022
CEN041,ALTARIA AGUASCALIENTES,1081438,230246,712493,466489,449346,894139,794724,4628875,2/28/2022
CEN042,AEROPUERTO I,,,,,,,,,2/28/2022
CEN043,TERMINAL 2,197717,76600,518288,56825,254847,91880,490601,1686758,2/28/2022
CEN044,SAMARA,1246152,184401,106429,778813,827194,766762,110457,4020208,2/28/2022
CEN045,DESCONOCIDO,,,,,,,,,2/28/2022
CEN046,GRAN PLAZA GUADALAJARA,383511,1045104,899114,1218392,174751,955472,412943,5089287,2/28/2022
CEN047,GALERIAS GUADALAJARA,709606,875188,444788,301674,743587,351761,1028211,4454815,2/28/2022
CEN048,PASEO DEL CARMEN,457034,894000,936902,1039214,879623,995685,1116916,6319374,2/28/2022
CEN049,REVOLUCION,260474,997630,1050663,1023435,860084,1049316,568061,5809663,2/28/2022
CEN050,ANTENAS,648924,59454,858691,471890,1117786,807357,988950,4953052,2/28/2022
CEN051,AEROPUERTO VOLARIS,54609,43955,473462,50113,393161,232185,463823,1711308,2/28/2022
CEN052,AEROPUERTO INTERNACIONAL,30593,655535,292617,61160,437312,1115542,126093,2718852,2/28/2022
CEN053,THOR PLAYA DEL CARMEN,,,,,,,,,2/28/2022
CEN054,GRAN PLAZA CANCUN,273395,395498,177752,171140,176982,888923,1226855,3310545,2/28/2022
CEN055,GALERIAS PACHUCA,48113,1225367,1060438,875951,295658,101918,1160198,4767643,2/28/2022
CEN056,AMERICAS CHETUMAL,,,,,,,,,2/28/2022
