Codigo de Centro,Sucursal,Hogar,Salud y Belleza,Moda,Juguetes,Tecnologia,Viajes,Papeleria,Venta Total,Fecha Corte
CEN001,ARAGON,1083146,43687,130090,924628,63857,259485,593886,3098779,7/31/2022
CEN002,GALERIAS COAPA,844124,463531,985431,131371,281007,350382,87338,3143184,7/31/2022
CEN003,MADERO CENTRO,299039,179468,1050483,191486,97536,1243604,514236,3575852,7/31/2022
CEN004,MUNDO E,1040610,841562,244879,575598,273265,185728,991432,4153074,7/31/2022
CEN005,LUNA PARC,525040,1018105,473443,267158,910774,1215585,268506,4678611,7/31/2022
CEN006,PLAZA PATRIA GDL,148510,459434,1249314,390527,559315,504387,95996,3407483,7/31/2022
CEN007,CUERNAVACA AVERANDA,642498,735879,803471,637039,1011734,483841,992606,5307068,7/31/2022
CEN008,CENTRO SANTA FE,198014,868952,1035586,536891,556681,79785,310466,3586375,7/31/2022
CEN009,PATIO UNIVERSIDAD,255313,27372,400080,127219,472526,830096,960313,3072919,7/31/2022
CEN010,PATIO SANTA FE,869618,878132,22603,572039,1044302,186241,814001,4386936,7/31/2022
CEN011,PUEBLA REFORMA,18856,726658,1174355,579014,231741,665704,316361,3712689,7/31/2022
CEN012,PASEO ACOXPA,918219,242940,448087,870697,1081449,798626,181489,4541507,7/31/2022
CEN013,PATIO QUERETARO,451718,892645,464068,958310,45150,366665,71256,3249812,7/31/2022
CEN014,MIDTOWN JALISCO,918808,653554,1248459,757892,30740,514986,499414,4623853,7/31/2022
CEN015,UPTOWN JURIQUILLA,350514,451894,72767,35776,1048241,165715,858073,2982980,7/31/2022
CEN016,PACHUCA CENTRO,453358,1013784,27844,1071626,121443,799861,345999,3833915,7/31/2022
CEN017,PATIO TLALPAN,86655,574426,751768,765326,1059734,719318,285616,4242843,7/31/2022
CEN018,PARQUES PUEBLA,861372,923790,750299,795691,194917,557424,479012,4562505,7/31/2022
CEN019,GRAN PATIO GDL,542949,482350,845805,295724,461632,286761,684259,3599480,7/31/2022
CEN020,PUEBLA 5 DE MAYO,296482,341837,1002972,1153112,909351,562648,835842,5102244,7/31/2022
CEN021,PATIO TOLUCA,131575,756250,561855,1069999,691020,839141,548574,4598414,7/31/2022
CEN022,FORTUNA LINDAVISTA,94759,119471,1170288,344055,1181870,64240,306723,3281406,7/31/2022
CEN023,PUEBLA 4,1049149,213276,1102754,466986,998992,240240,539662,4611059,7/31/2022
CEN024,CENTRO XALAPA,876701,1174759,553508,424701,1207900,1143202,506658,5887429,7/31/2022
CEN025,INSURGENTES FLAGSHIP,1054639,1019051,1134865,920087,1053530,1089807,673624,6945603,7/31/2022
CEN026,LEON CENTRO PORTALES,402199,499172,815355,991308,1219556,910797,1020145,5858532,7/31/2022
CEN027,CONDESA,1016284,958969,179013,992862,1108634,269965,875329,5401056,7/31/2022
CEN028,VIA VALLEJO,1239755,298678,266528,866108,191879,138129,864757,3865834,7/31/2022
CEN029,CENTRO 16 DE SEPTIEMBRE,998009,601221,189092,1130199,755528,915532,907393,5496974,7/31/2022
CEN030,PABELLON POLANCO,778986,395647,1179899,219642,1122391,69736,765895,4532196,7/31/2022
