Codigo de Centro,Sucursal,Hogar,Salud y Bellleza,Moda,Juguetes,Tecnologia,Viajes,Papeleria,Venta Total,Fecha Corte
CEN001,ARAGON,72870,433296,225720,615487,89806,992443,681940,3111562,6/30/2022
CEN002,GALERIAS COAPA,255448,1108069,21077,324546,356788,766662,337457,3170047,6/30/2022
CEN003,MADERO CENTRO,1131983,556570,251695,226090,330922,1089712,31115,3618087,6/30/2022
CEN004,MUNDO E,147066,362998,842673,672337,542707,651292,1034209,4253282,6/30/2022
CEN005,LUNA PARC,1245964,1091186,438605,342350,660806,643271,268057,4690239,6/30/2022
CEN006,PLAZA PATRIA GDL,611546,721987,625141,68402,1007496,230496,111364,3376432,6/30/2022
CEN007,CUERNAVACA AVERANDA,676366,860225,335971,81664,1081435,1184435,1121741,5341837,6/30/2022
CEN008,CENTRO SANTA FE,842418,757675,961265,389534,128791,180830,369275,3629788,6/30/2022
CEN009,PATIO UNIVERSIDAD,1159399,144614,46031,505510,773869,183410,232431,3045264,6/30/2022
CEN010,PATIO SANTA FE,91212,455928,478725,617629,1009722,740256,1070799,4464271,6/30/2022
CEN011,PUEBLA REFORMA,311274,374238,1129844,281547,1162396,402284,78507,3740090,6/30/2022
CEN012,PASEO ACOXPA,525760,662801,65068,639838,1111543,1247490,300069,4552569,6/30/2022
CEN013,PATIO QUERETARO,680848,33528,122549,510327,564405,980370,321015,3213042,6/30/2022
CEN014,MIDTOWN JALISCO,503190,851520,948325,214264,680645,986790,442461,4627195,6/30/2022
CEN015,UPTOWN JURIQUILLA,503659,169505,981945,192031,232149,234056,569894,2883239,6/30/2022
CEN016,PACHUCA CENTRO,1071251,287651,433146,157051,500585,1112520,444509,4006713,6/30/2022
CEN017,PATIO TLALPAN,1215539,362627,554395,402543,346758,719613,774392,4375867,6/30/2022
CEN018,PARQUES PUEBLA,62466,633422,867361,1225280,832865,910009,43815,4575218,6/30/2022
CEN019,GRAN PATIO GDL,565414,31783,1005262,600264,884614,196294,352056,3635687,6/30/2022
CEN020,PUEBLA 5 DE MAYO,995917,486987,558510,1217284,395211,684862,788323,5127094,6/30/2022
CEN021,PATIO TOLUCA,726191,293250,454624,145647,793830,1051897,1139249,4604688,6/30/2022
