Codigo de Centro,Sucursal,Hogar,Salud y Bellleza,Moda,Juguetes,Tecnologia,Viajes,Papeleria,Venta Total,Fecha Corte
CEN001,ARAGON,207578,256174,233390,614761,922201,42329,1001283,3277716,3/31/2022
CEN002,GALERIAS COAPA,1065914,34636,454385,361544,88604,412153,945662,3362898,3/31/2022
CEN003,MADERO CENTRO,448164,1086909,262544,308808,365966,187257,1037127,3696775,3/31/2022
CEN004,MUNDO E,26795,480585,935009,470507,883198,478453,1040258,4314805,3/31/2022
CEN005,LUNA PARC,750712,1158770,61157,65549,840094,1216386,664445,4757113,3/31/2022
CEN006,PLAZA PATRIA GDL,733330,301283,243294,58545,863947,772208,584909,3557516,3/31/2022
CEN007,CUERNAVACA AVERANDA,984166,732848,1123872,1100197,845199,262685,198090,5247057,3/31/2022
CEN008,CENTRO SANTA FE,924233,238589,680553,537624,78399,877017,413447,3749862,3/31/2022
CEN009,PATIO UNIVERSIDAD,777419,964023,1132887,99134,34209,43328,165883,3216883,3/31/2022
CEN010,PATIO SANTA FE,788935,1115081,651010,569805,499416,465462,513578,4603287,3/31/2022
CEN011,PUEBLA REFORMA,809190,1138671,457698,498110,807686,156139,21645,3889139,3/31/2022
CEN012,PASEO ACOXPA,882012,964258,411035,758163,695305,342195,606995,4659963,3/31/2022
CEN013,PATIO QUERETARO,906127,164148,151149,746753,219291,610486,588037,3385991,3/31/2022
CEN014,MIDTOWN JALISCO,699603,792172,172063,942900,1094242,824318,194902,4720200,3/31/2022
CEN015,UPTOWN JURIQUILLA,252267,1057302,295824,579534,92788,550315,360810,3188840,3/31/2022
CEN016,PACHUCA CENTRO,231973,331472,871767,858375,920967,690044,105552,4010150,3/31/2022
CEN017,PATIO TLALPAN,548849,1248116,208503,259901,1130270,728144,277916,4401699,3/31/2022
CEN018,PARQUES PUEBLA,51152,896677,1220278,626832,627292,881074,365862,4669167,3/31/2022
CEN019,GRAN PATIO GDL,241501,32374,250659,551399,658107,931762,1106707,3772509,3/31/2022
CEN020,PUEBLA 5 DE MAYO,945054,1014359,1098032,172254,489212,1206675,177599,5103185,3/31/2022
CEN021,PATIO TOLUCA,856458,790650,703892,225327,335142,629207,1170145,4710821,3/31/2022
CEN022,FORTUNA LINDAVISTA,250835,211866,935174,280647,942007,283980,482848,3387357,3/31/2022
CEN023,PUEBLA 4,584684,736453,862209,584543,1187442,243013,521686,4720030,3/31/2022
CEN024,CENTRO XALAPA,1009749,399359,1108786,892674,782207,882424,790163,5865362,3/31/2022
CEN025,INSURGENTES FLAGSHIP,849090,1202193,993736,894051,1160402,1142005,1039690,7281167,3/31/2022
CEN026,LEON CENTRO PORTALES,669374,1211009,1203009,154871,1112679,1123914,313991,5788847,3/31/2022
CEN027,CONDESA,941582,51478,402918,1003927,1249267,1107741,622574,5379487,3/31/2022
CEN028,VIA VALLEJO,663664,658987,865415,268147,1206631,87664,267009,4017517,3/31/2022
CEN029,CENTRO 16 DE SEPTIEMBRE,943983,865620,1248421,734096,216370,558292,893150,5459932,3/31/2022
CEN030,PABELLON POLANCO,672974,672950,1079307,315907,1083869,292100,542499,4659606,3/31/2022
CEN031,LA CUSPIDE,337865,1109745,858427,781598,254163,1127107,65309,4534214,3/31/2022
CEN032,CUATRO CAMINOS A,747744,110877,498135,309927,533150,985333,23000,3208166,3/31/2022
CEN033,CUATRO CAMINOS B,575241,148850,379038,887581,508662,500379,894265,3894016,3/31/2022
CEN034,PLAZA INBURSA,793056,1043235,504462,139604,291924,213645,510512,3496438,3/31/2022
CEN035,PLAZA TLALNEPANTLA,201514,147412,1087557,942994,1159910,1113807,708339,5361533,3/31/2022
CEN036,PLAZA CARSO,209624,970492,777935,1135055,602662,379236,935699,5010703,3/31/2022
CEN037,PLAZA Q,884106,901728,540992,1181249,610709,440781,960454,5520019,3/31/2022
CEN038,TOWN SQUARE METEPEC,472320,291155,1085569,866368,678716,665850,915390,4975368,3/31/2022
CEN039,SCOTIA AEROPUERTO,1202075,196084,142921,527659,235537,147040,456850,2908166,3/31/2022
CEN040,ALTACIA LEON,438316,1197541,399084,1179700,328428,640622,164318,4348009,3/31/2022
CEN041,ALTARIA AGUASCALIENTES,1184645,552666,293885,588150,883265,364701,825894,4693206,3/31/2022
CEN042,AEROPUERTO I,,,,,,,,,3/31/2022
CEN043,TERMINAL 2,242981,309893,180736,59384,429933,376031,186619,1785577,3/31/2022
CEN044,SAMARA,370839,348809,197793,416448,910531,539435,1148281,3932136,3/31/2022
CEN045,DESCONOCIDO,,,,,,,,,3/31/2022
CEN046,GRAN PLAZA GUADALAJARA,1137283,777408,744380,397884,290705,676084,1200548,5224292,3/31/2022
CEN047,GALERIAS GUADALAJARA,746254,414604,923914,965196,995122,205601,248975,4499666,3/31/2022
CEN048,PASEO DEL CARMEN,1248747,1174874,739735,861398,373726,1198419,550491,6147390,3/31/2022
CEN049,REVOLUCION,1223941,642989,696667,365360,1005970,1017534,821472,5773933,3/31/2022
CEN050,ANTENAS,358114,371245,697494,951962,1004790,889097,779937,5052639,3/31/2022
CEN051,AEROPUERTO VOLARIS,301583,34976,64994,31658,303581,429131,364355,1530278,3/31/2022
CEN052,AEROPUERTO INTERNACIONAL,798521,308346,135762,236633,147862,604252,694606,2925982,3/31/2022
CEN053,THOR PLAYA DEL CARMEN,,,,,,,,,3/31/2022
CEN054,GRAN PLAZA CANCUN,443900,383178,150072,703975,501769,1093536,44324,3320754,3/31/2022
CEN055,GALERIAS PACHUCA,450263,428334,463740,1052005,565367,996298,832191,4788198,3/31/2022
CEN056,AMERICAS CHETUMAL,,,,,,,,,3/31/2022
CEN057,AMERICAS PLAYA DEL CARMEN,242122,1087368,36722,1036373,618070,1219221,834387,5074263,3/31/2022
CEN058,CANCUN MALL,674920,817750,1206869,1091851,558483,998499,770448,6118820,3/31/2022
CEN059,CLAVERIA,334255,385867,145890,1069918,858165,98571,1124621,4017287,3/31/2022
CEN060,LA ISLA CANCUN,358729,947675,1238396,1114043,445404,1171648,166198,5442093,3/31/2022
CEN061,MITHIKA,,,,,,,,,3/31/2022
CEN062,PARQUE TOREO,762797,1100736,1208291,376035,334768,540884,520952,4844463,3/31/2022
CEN063,AMERICAS CANCUN,339171,1104381,395829,214313,1188105,434547,661173,4337519,3/31/2022
CEN064,CHEDRAUI POLANCO,459571,42599,296756,906025,1018797,186052,276270,3186070,3/31/2022
CEN065,AMERICAS VERACRUZ,186309,434535,488831,1125067,205306,412878,635120,3488046,3/31/2022
CEN066,EL DORADO VERACRUZ,86285,872067,991284,76144,812696,595107,412406,3845989,3/31/2022
CEN067,AEROPUERTO SALAS,268389,205828,246775,228275,236126,276025,38846,1500264,3/31/2022
CEN068,ANTEA QUERETARO,634578,385760,265793,825190,451760,627064,341883,3532028,3/31/2022
CEN069,CIBELES IRAPUATO,698133,241746,582415,566972,545589,939029,788956,4362840,3/31/2022
CEN070,PUERTA LA VICTORIA,641450,874026,1158102,865660,232986,989153,370532,5131909,3/31/2022
CEN071,PUERTA ARAGON,,,,,,,,,3/31/2022
CEN072,TOLUCA PORTALES,939097,949114,840870,164355,234644,750242,1178587,5056909,3/31/2022
CEN073,SENTURA TLALNEPANTLA,328837,1000821,295920,1012058,865795,376720,206118,4086269,3/31/2022
CEN074,CENTRO MERIDA,890738,1170543,188663,303332,478847,582377,1005607,4620107,3/31/2022
CEN075,OASIS COYOACAN,206585,182748,543680,348240,295223,1211293,1058453,3846222,3/31/2022
CEN076,PLAZA CENTRAL,881395,106864,613565,710473,1170964,1157727,408434,5049422,3/31/2022
CEN077,PARQUE DELTA,855093,832552,803720,380650,1239811,477587,508976,5098389,3/31/2022
CEN078,MUNDO E CINEMEX,465221,838970,766524,632394,233293,333247,388687,3658336,3/31/2022
CEN079,PASEO INTERLOMAS,599395,1128917,1076024,876814,134224,530316,265866,4611556,3/31/2022
CEN080,GALERIAS TOLUCA,48064,833961,862750,197974,1109797,723762,643875,4420183,3/31/2022
CEN081,PLAZA DORADA,309053,293692,1087975,1222037,99246,1068908,848671,4929582,3/31/2022
CEN082,AMBAR GUANAJUATO,,,,,,,,,3/31/2022
CEN083,PATIO TAPACHULA,,,,,,,,,3/31/2022
CEN084,TORRE LATINOAMERICANA,1062880,725239,1168847,722049,940408,18916,547834,5186173,3/31/2022
CEN085,PLAZA LA ROSA,269529,403254,544832,574420,375618,1100725,863057,4131435,3/31/2022
CEN086,HARBOR MERIDA,758423,392282,1071978,104279,990516,848498,690015,4855991,3/31/2022
CEN087,DESCONOCIDO,,,,,,,,,3/31/2022
CEN088,PORTAL CENTRO,981331,821311,218189,905488,512116,1116354,982173,5536962,3/31/2022
CEN089,CRYSTAL XALAPA,723551,724531,1059357,728744,1108348,1074249,561045,5979825,3/31/2022
CEN090,PLAZA MAYOR,811630,427818,547058,855473,620169,1029264,1144081,5435493,3/31/2022
CEN091,ALTABRISA MERIDA,614330,1228862,1245299,762760,602501,914668,778755,6147175,3/31/2022
