Codigo de Centro,Sucursal,Hogar,Salud y Belleza,Moda,Juguetes,Tecnologia,Viajes,Papeleria,Venta Total,Fecha Corte
CEN001,ARAGON,68595,97906,143471,1149402,1025642,323755,292113,3100884,5/31/2022
CEN002,GALERIAS COAPA,442557,309877,962049,540535,694118,137908,74885,3161929,5/31/2022
CEN003,MADERO CENTRO,464470,601450,493749,404539,394602,383001,822360,3564171,5/31/2022
CEN004,MUNDO E,71308,880364,115277,135174,1096080,1226627,653873,4178703,5/31/2022
CEN005,LUNA PARC,111156,904811,1093410,932916,64108,476235,1102591,4685227,5/31/2022
CEN006,PLAZA PATRIA GDL,489786,74308,444355,833216,202524,27316,1204276,3275781,5/31/2022
CEN007,CUERNAVACA AVERANDA,972746,1046439,170775,884900,586848,830762,625288,5117758,5/31/2022
CEN008,CENTRO SANTA FE,520478,125990,626610,291437,533025,309540,1183488,3590568,5/31/2022
CEN009,PATIO UNIVERSIDAD,556893,21722,1171303,29254,620177,579767,40303,3019419,5/31/2022
CEN010,PATIO SANTA FE,1026830,551549,1008313,1008263,38715,137044,701701,4472415,5/31/2022
CEN011,PUEBLA REFORMA,598141,953191,474681,721685,428065,62174,530980,3768917,5/31/2022
CEN012,PASEO ACOXPA,503180,1012118,514554,467569,647220,200196,1199255,4544092,5/31/2022
CEN013,PATIO QUERETARO,75791,408590,592960,1100225,174697,299005,513196,3164464,5/31/2022
CEN014,MIDTOWN JALISCO,73685,868163,505337,796525,535120,716442,1145545,4640817,5/31/2022
CEN015,UPTOWN JURIQUILLA,243876,922648,51185,29500,429828,283043,962126,2922206,5/31/2022
CEN016,PACHUCA CENTRO,288465,789542,255038,991032,340038,1078971,153508,3896594,5/31/2022
CEN017,PATIO TLALPAN,960687,1057631,650283,308183,22225,382926,935457,4317392,5/31/2022
CEN018,PARQUES PUEBLA,963072,398377,179701,175732,775085,1038951,1039999,4570917,5/31/2022
CEN019,GRAN PATIO GDL,317553,335038,380586,26727,708523,858930,989381,3616738,5/31/2022
CEN020,PUEBLA 5 DE MAYO,444731,186030,1121582,1061685,782808,281440,1176706,5054982,5/31/2022
CEN021,PATIO TOLUCA,95002,1240726,447475,455075,1038070,472368,862398,4611114,5/31/2022
CEN022,FORTUNA LINDAVISTA,232391,850623,95017,96808,442805,1041462,437685,3196791,5/31/2022
CEN023,PUEBLA 4,724242,619961,705984,983365,410352,584540,584079,4612523,5/31/2022
CEN024,CENTRO XALAPA,1027175,312437,1112648,1034000,1078403,588578,634108,5787349,5/31/2022
CEN025,INSURGENTES FLAGSHIP,859796,1218002,985310,1207700,1015960,680514,984310,6951592,5/31/2022
CEN026,LEON CENTRO PORTALES,889916,1178226,427694,1225319,379238,697341,946324,5744058,5/31/2022
CEN027,CONDESA,416693,1240157,1178541,936805,368407,677418,395505,5213526,5/31/2022
CEN028,VIA VALLEJO,222504,249034,1196501,591665,719824,593107,370241,3942876,5/31/2022
CEN029,CENTRO 16 DE SEPTIEMBRE,750971,1019247,219302,1225704,1249206,727884,160857,5353171,5/31/2022
CEN030,PABELLON POLANCO,1228238,785603,199347,188855,232869,1026762,879346,4541020,5/31/2022
CEN031,LA CUSPIDE,825882,1100357,116297,1055543,144384,212263,996701,4451427,5/31/2022
CEN032,CUATRO CAMINOS A,810398,292881,185985,465508,27611,248177,962111,2992671,5/31/2022
CEN033,CUATRO CAMINOS B,908829,383133,950070,88054,517141,93434,841523,3782184,5/31/2022
CEN034,PLAZA INBURSA,399707,73220,729225,532467,909009,373080,245887,3262595,5/31/2022
CEN035,PLAZA TLALNEPANTLA,499350,34979,1148960,644815,1210413,541743,1108388,5188648,5/31/2022
CEN036,PLAZA CARSO,1239678,1048654,1182505,165407,344849,348881,558242,4888216,5/31/2022
CEN037,PLAZA Q,1199639,242667,1159328,758889,1099126,388912,555932,5404493,5/31/2022
CEN038,TOWN SQUARE METEPEC,664988,726895,164319,953814,700551,740206,922695,4873468,5/31/2022
CEN039,SCOTIA AEROPUERTO,925189,487976,312209,211423,211056,304402,279109,2731364,5/31/2022
CEN040,ALTACIA LEON,247786,937213,617320,153880,461294,1022459,808391,4248343,5/31/2022
CEN041,ALTARIA AGUASCALIENTES,417594,993195,1013359,965029,898752,190915,128305,4607149,5/31/2022
CEN042,AEROPUERTO I,,,,,,,,,5/31/2022
CEN043,TERMINAL 2,103719,266281,50653,46698,521902,581038,392614,1962905,5/31/2022
CEN044,SAMARA,127173,379636,23232,844620,1003966,404966,1030858,3814451,5/31/2022
CEN045,DESCONOCIDO,,,,,,,,,5/31/2022
CEN046,GRAN PLAZA GUADALAJARA,764736,561110,730718,1205757,1165001,415609,272779,5115710,5/31/2022
CEN047,GALERIAS GUADALAJARA,568092,350874,761514,885463,520091,404062,920296,4410392,5/31/2022
CEN048,PASEO DEL CARMEN,1171274,1231546,1033026,213054,682625,969617,796815,6097957,5/31/2022
CEN049,REVOLUCION,833947,1051786,1059382,678257,644449,1224794,230437,5723052,5/31/2022
CEN050,ANTENAS,1211252,26005,769295,1108484,475431,768504,590211,4949182,5/31/2022
CEN051,AEROPUERTO VOLARIS,301958,335753,211692,349471,272371,375803,436199,2283247,5/31/2022
CEN052,AEROPUERTO INTERNACIONAL,79049,78606,316025,342949,605904,1159251,172125,2753909,5/31/2022
CEN053,THOR PLAYA DEL CARMEN,,,,,,,,,5/31/2022
CEN054,GRAN PLAZA CANCUN,955036,455887,769107,133668,493814,19365,318179,3145056,5/31/2022
CEN055,GALERIAS PACHUCA,842856,961717,617871,586416,1152960,433572,117226,4712618,5/31/2022
CEN056,AMERICAS CHETUMAL,,,,,,,,,5/31/2022
CEN057,AMERICAS PLAYA DEL CARMEN,994460,249305,1129810,1062986,575464,91215,871072,4974312,5/31/2022
CEN058,CANCUN MALL,134358,954224,1101336,813205,887176,1014184,1000021,5904504,5/31/2022
CEN059,CLAVERIA,394414,419333,718100,396637,955240,263680,787281,3934685,5/31/2022
CEN060,LA ISLA CANCUN,796345,787172,325638,631448,763623,1200191,772300,5276717,5/31/2022
CEN061,MITHIKA,,,,,,,,,5/31/2022
CEN062,PARQUE TOREO,1044869,123922,212798,1063805,1107526,1022353,169951,4745224,5/31/2022
CEN063,AMERICAS CANCUN,990268,702551,134133,279826,395862,827360,900769,4230769,5/31/2022
CEN064,CHEDRAUI POLANCO,915743,97220,478012,192469,181470,877432,108175,2850521,5/31/2022
CEN065,AMERICAS VERACRUZ,776567,182715,93686,606065,536762,482175,556772,3234742,5/31/2022
CEN066,EL DORADO VERACRUZ,54893,1200312,283647,200296,233936,917207,793540,3683831,5/31/2022
CEN067,AEROPUERTO SALAS,261583,264012,395246,122330,395840,249895,526985,2215891,5/31/2022
CEN068,ANTEA QUERETARO,290903,824130,22138,789486,215829,75649,1056190,3274325,5/31/2022
CEN069,CIBELES IRAPUATO,961583,264012,695246,122330,695840,549895,1026985,4315891,5/31/2022
CEN070,PUERTA LA VICTORIA,727027,907346,608212,682806,1133439,419211,590957,5068998,5/31/2022
CEN071,PUERTA ARAGON,,,,,,,,,5/31/2022
CEN072,TOLUCA PORTALES,1051715,800159,1020266,786012,1133248,43664,120650,4955714,5/31/2022
CEN073,SENTURA TLALNEPANTLA,178088,1223108,30448,709226,120984,1114668,612595,3989117,5/31/2022
CEN074,CENTRO MERIDA,1207408,86278,609773,1226868,443976,314542,610619,4499464,5/31/2022
CEN075,OASIS COYOACAN,491456,180720,294420,556725,366575,583495,1229351,3702742,5/31/2022
CEN076,PLAZA CENTRAL,1224220,824120,1003339,22853,817905,696732,353632,4942801,5/31/2022
CEN077,PARQUE DELTA,554222,208249,1095758,692263,1116601,380160,982898,5030151,5/31/2022
