Codigo de Centro,Sucursal,Hogar,Salud y Belleza,Moda,Juguetes,Tecnologia,Viajes,Papeleria,Venta Total,Fecha Corte
CEN001,ARAGON,538050,223372,569060,860508,370874,39681,366050,2967595,9/30/2022
CEN002,GALERIAS COAPA,61914,340802,488907,294019,418590,704254,753798,3062284,9/30/2022
CEN003,MADERO CENTRO,39540,267312,538926,131755,730136,910730,869170,3487569,9/30/2022
CEN004,MUNDO E,1157870,747892,425566,972864,92197,561529,92084,4050002,9/30/2022
CEN005,LUNA PARC,1189816,568231,68259,994209,614982,159113,983218,4577828,9/30/2022
CEN006,PLAZA PATRIA GDL,1231173,294630,96048,539623,771954,53606,242756,3229790,9/30/2022
CEN007,CUERNAVACA AVERANDA,877651,758044,975507,200541,1023922,506266,863250,5205181,9/30/2022
CEN008,CENTRO SANTA FE,183392,968146,539971,83302,436614,833888,454756,3500069,9/30/2022
CEN009,PATIO UNIVERSIDAD,118161,420867,379274,1077484,354694,257625,321640,2929745,9/30/2022
CEN010,PATIO SANTA FE,935375,979557,880565,345855,508926,686345,85623,4422246,9/30/2022
CEN011,PUEBLA REFORMA,213960,415420,598033,468242,546887,458846,897394,3598782,9/30/2022
CEN012,PASEO ACOXPA,436038,1105840,438442,720672,891801,196623,692815,4482231,9/30/2022
CEN013,PATIO QUERETARO,107484,350234,816388,88373,282764,1213787,210005,3069035,9/30/2022
CEN014,MIDTOWN JALISCO,250675,599948,155399,974015,1146288,375178,1042383,4543886,9/30/2022
CEN015,UPTOWN JURIQUILLA,167798,666274,565348,112558,244929,612691,412177,2781775,9/30/2022
CEN016,PACHUCA CENTRO,760249,552226,854634,258385,872915,63189,412340,3773938,9/30/2022
CEN017,PATIO TLALPAN,1193662,659834,428261,54492,885428,776105,258936,4256718,9/30/2022
CEN018,PARQUES PUEBLA,647175,474816,178111,454160,925554,851528,963617,4494961,9/30/2022
CEN019,GRAN PATIO GDL,639052,686754,784094,239968,649521,381671,154065,3535125,9/30/2022
CEN020,PUEBLA 5 DE MAYO,767190,759267,1246773,802321,449547,72249,1006390,5103737,9/30/2022
CEN021,PATIO TOLUCA,782825,547768,806812,289965,29481,859929,1193110,4509890,9/30/2022
CEN022,FORTUNA LINDAVISTA,311359,690219,194351,613826,189047,1041088,34979,3074869,9/30/2022
CEN023,PUEBLA 4,1014062,403999,379591,497262,1028017,33947,1166997,4523875,9/30/2022
CEN024,CENTRO XALAPA,971438,690850,824236,396855,1170687,683044,1168261,5905371,9/30/2022
CEN025,INSURGENTES FLAGSHIP,1245697,1019760,743693,1069221,679380,1050539,973825,6782115,9/30/2022
CEN026,LEON CENTRO PORTALES,1080589,1198808,399487,751467,884258,314495,1204111,5833215,9/30/2022
CEN027,CONDESA,1085258,630957,193116,843825,756870,1159680,632525,5302231,9/30/2022
CEN028,VIA VALLEJO,123724,946145,284539,856062,670934,650110,255634,3787148,9/30/2022
CEN029,CENTRO 16 DE SEPTIEMBRE,1212985,972862,973041,72521,271887,1117876,833779,5454951,9/30/2022
CEN030,PABELLON POLANCO,552567,1224737,336684,549463,729580,358437,728051,4479519,9/30/2022
CEN031,LA CUSPIDE,29586,519034,736536,1143596,450508,491478,1002110,4372848,9/30/2022
CEN032,CUATRO CAMINOS A,390842,887192,274016,230727,61260,710902,259983,2814922,9/30/2022
CEN033,CUATRO CAMINOS B,152882,340013,589349,278574,804698,964748,474662,3604926,9/30/2022
CEN034,PLAZA INBURSA,459774,267833,485176,31088,620287,961165,383157,3208480,9/30/2022
CEN035,PLAZA TLALNEPANTLA,898896,1045230,595813,558262,452749,973921,760761,5285632,9/30/2022
CEN036,PLAZA CARSO,1214975,291363,1024256,406286,256769,657350,1033896,4884895,9/30/2022
CEN037,PLAZA Q,1126956,87332,1174949,455705,573992,914189,1148648,5481771,9/30/2022
CEN038,TOWN SQUARE METEPEC,608572,538858,250667,925458,1051614,985768,404638,4765575,9/30/2022
CEN039,SCOTIA AEROPUERTO,560598,400534,41440,570898,439711,217221,240165,2470567,9/30/2022
